,measureName,campaignName,time,measureValue
64,Vehicle.Exterior.AirTemperature,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.577000000,31.0
65,Vehicle.Powertrain.CombustionEngine.EngineError,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.534000000,0.0
66,Vehicle.Powertrain.CombustionEngine.Speed,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.603000000,855
67,Vehicle.Powertrain.FuelSystem.AbsoluteLevel,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.564000000,18.6
68,Vehicle.Powertrain.Transmission.CurrentGear,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.610000000,1
69,Vehicle.TraveledDistance,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.590000000,952135.0
70,Vehicle.TraveledDistanceStatus,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.590000000,0.0
71,Vehicle.Cabin.Seat.Row1.DriverSide.IsBelted,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.537000000,1
72,Vehicle.Cabin.Seat.Row1.PassengerSide.IsBelted,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.537000000,0
73,Vehicle.Cabin.Seat.Row2.DriverSide.IsBelted,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.537000000,0
74,Vehicle.Cabin.Seat.Row2.PassengerSide.IsBelted,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.537000000,1
75,Vehicle.Cabin.Seat.Row2.Middle.IsBelted,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.537000000,0
76,Vehicle.Cabin.Door.Row1.PassengerSide.IsOpen,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.505000000,0
77,Vehicle.Cabin.Door.Row1.DriverSide.IsOpen,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.505000000,0
78,Vehicle.Cabin.Door.Row2.PassengerSide.IsOpen,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.505000000,0
79,Vehicle.Cabin.Door.Row2.DriverSide.IsOpen,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.505000000,0
80,Vehicle.Body.Trunk.Rear.IsOpen,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.505000000,0
81,Vehicle.Body.Trunk.Front.IsOpen,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.505000000,1
82,Vehicle.Chassis.Axle.Row1.Wheel.Left.Tire.IsPressureHigh,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.572000000,0
83,Vehicle.Chassis.Axle.Row2.Wheel.Left.Tire.IsPressureHigh,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.572000000,0
84,Vehicle.Chassis.Axle.Row1.Wheel.Right.Tire.IsPressureHigh,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.572000000,0
85,Vehicle.Chassis.Axle.Row1.Wheel.Left.Tire.IsPressureLow,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.572000000,0
86,Vehicle.Chassis.Axle.Row2.Wheel.Left.Tire.IsPressureLow,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.572000000,0
87,Vehicle.Chassis.Axle.Row1.Wheel.Right.Tire.IsPressureLow,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.572000000,0
88,Vehicle.Chassis.Axle.Row2.Wheel.Right.Tire.IsPressureLow,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.572000000,0
89,Vehicle.Body.Lights.Hazard.IsSignaling,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.511000000,0
90,Vehicle.Body.Lights.Hazard.IsSignalingStatus,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.511000000,0
91,Vehicle.Body.Lights.PositionTelltale.IsSignaling,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.527000000,0
92,Vehicle.Body.Lights.PositionTelltale.IsSignalingStatus,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.527000000,0
